Preferred Verticals,Matched Categories
"Artificial Intelligence & Machine Learning, Digital Health, HealthTech, TMT","Health & Fitness; Life Sciences, Healthcare & MedTech"
"Cybersecurity, E-Commerce, Mobile, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; Blockchain; Cybersecurity; Real Estate/PropTech"
"Internet of Things, Manufacturing, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing"
"Gaming, Manufacturing, TMT, Virtual Reality","Arts, Entertainment, Events Sports, Gaming"
"3D Printing, LOHAS & Wellness, TMT",
"Cryptocurrency/Blockchain, FinTech, Real Estate Technology, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"E-Commerce, FoodTech, Pet Technology, TMT",
"Industrials, Robotics and Drones, TMT",
"Cryptocurrency/Blockchain, FinTech, Manufacturing","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
AudioTech,
"Manufacturing, Mobile, TMT, Wearables & Quantified Self",
"CleanTech, Manufacturing","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"HealthTech, Life Sciences, Oncology, TMT","Health & Fitness; Life Sciences, Healthcare & MedTech"
"Mortgage Tech, Real Estate Technology, TMT",
"Cannabis, TMT",Cannabis
"HR Tech, Impact Investing, TMT",
"EdTech, Mobile, SaaS","Deep Tech, AI/ML, Robotics, Quantum Computing"
"Internet of Things, Oil & Gas, TMT",
"Cannabis, LOHAS & Wellness, Manufacturing",Cannabis
"3D Printing, Real Estate Technology, TMT",
"Manufacturing, TMT, Wearables & Quantified Self",
"E-Commerce, Manufacturing, Mobile, TMT",
"Cybersecurity, Esports, Gaming, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; Real Estate/PropTech; Arts, Entertainment, Events Sports, Gaming; Cybersecurity; Blockchain"
"3D Printing, Artificial Intelligence & Machine Learning, TMT",
"3D Printing, FinTech, InsurTech, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"Construction Technology, Real Estate Technology, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing"
"Internet of Things, Life Sciences","Life Sciences, Healthcare & MedTech"
"CleanTech, LOHAS & Wellness, Manufacturing, TMT","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"Cryptocurrency/Blockchain, Cybersecurity, FinTech","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Real Estate/PropTech; Cybersecurity; Health & Fitness; Blockchain; Clean Energy, AgTech, Renewables, Utilities"
"CleanTech, Manufacturing, Nanotechnology, TMT","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"Artificial Intelligence & Machine Learning, Digital Health, HealthTech, Mobile","Health & Fitness; Life Sciences, Healthcare & MedTech"
"Artificial Intelligence & Machine Learning, Cybersecurity, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; Blockchain; Cybersecurity; Real Estate/PropTech"
"Beauty, InsurTech",Beauty
"Beauty, E-Commerce, LOHAS & Wellness",Beauty
"AudioTech, Real Estate Technology, TMT",
"3D Printing, Cryptocurrency/Blockchain, FinTech, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"Construction Technology, Industrials, Mobile, TMT",
"Space Technology, TMT",
"E-Commerce, Gaming, Manufacturing","Arts, Entertainment, Events Sports, Gaming"
"3D Printing, FinTech, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"3D Printing, Mobile, Restaurant Technology, TMT",
"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Manufacturing, TMT",Blockchain; Real Estate/PropTech
"FinTech, Marketing Tech, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"E-Commerce, Marketing Tech, Mobile, TMT",
"3D Printing, Artificial Intelligence & Machine Learning, Mobile, TMT",
"CleanTech, Impact Investing, TMT","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"3D Printing, Cybersecurity, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; Blockchain; Cybersecurity; Real Estate/PropTech"
"Advanced Manufacturing, AgTech, CleanTech, Climate Tech, Life Sciences, Manufacturing, Space Technology","HR Tech/Workforce; Life Sciences, Healthcare & MedTech; Real Estate/PropTech; Health & Fitness; Blockchain; Clean Energy, AgTech, Renewables, Utilities"
"Artificial Intelligence & Machine Learning, Big Data, CleanTech, Climate Tech, CloudTech & DevOps, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, HealthTech, Infrastructure, Robotics and Drones","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Data & Analytics; Life Sciences, Healthcare & MedTech; Real Estate/PropTech; Cybersecurity; Clean Energy, AgTech, Renewables, Utilities; Blockchain; Health & Fitness"
"E-Commerce, Real Estate Technology, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing"
"Industrials, Infrastructure, Manufacturing",
"Artificial Intelligence & Machine Learning, InsurTech",
"Big Data, Gaming, TMT","Arts, Entertainment, Events Sports, Gaming; Health & Fitness; Life Sciences, Healthcare & MedTech; Data & Analytics"
"Industrials, Micro-Mobility, Robotics and Drones, TMT",
"EdTech, Industrials, TMT",
"Industrials, Internet of Things, Life Sciences","Life Sciences, Healthcare & MedTech"
"3D Printing, E-Commerce, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing"
"Cybersecurity, Internet of Things","Deep Tech, AI/ML, Robotics, Quantum Computing; Blockchain; Cybersecurity; Real Estate/PropTech"
"HealthTech, Impact Investing, TMT","Health & Fitness; Life Sciences, Healthcare & MedTech"
"E-Commerce, Marketing Tech",
"E-Commerce, Nanotechnology, TMT",
"Artificial Intelligence & Machine Learning, FinTech, Mobile, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"HealthTech, Mobile","Health & Fitness; Life Sciences, Healthcare & MedTech"
"Autonomous cars, Robotics and Drones",
"EdTech, Manufacturing",
"Beauty, E-Commerce, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; Beauty"
"3D Printing, E-Commerce, TMT",
"Industrials, Space Technology, TMT",
"AdTech, FinTech, Marketing Tech, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; AdTech, SalesTech, MarTech; Clean Energy, AgTech, Renewables, Utilities"
"AdTech, Gaming, Mobile","Arts, Entertainment, Events Sports, Gaming; AdTech, SalesTech, MarTech"
"Beauty, LOHAS & Wellness, Manufacturing",Beauty
"Artificial Intelligence & Machine Learning, Big Data, EdTech, TMT","Data & Analytics; Health & Fitness; Life Sciences, Healthcare & MedTech"
"Big Data, HealthTech, Life Sciences, TMT","Data & Analytics; Health & Fitness; Life Sciences, Healthcare & MedTech"
"E-Commerce, HR Tech, TMT",
"Industrials, Manufacturing, Robotics and Drones, TMT",
"Manufacturing, Mobile, TMT",
"Digital Health, TMT, Wearables & Quantified Self","Health & Fitness; Life Sciences, Healthcare & MedTech"
"3D Printing, Industrials, Mobile, TMT",
"B2B Payments, FinTech, SaaS, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"Big Data, HealthTech, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; Health & Fitness; Life Sciences, Healthcare & MedTech; Data & Analytics"
"HealthTech, Life Sciences, Manufacturing, TMT","Health & Fitness; Life Sciences, Healthcare & MedTech"
"3D Printing, Marketing Tech, SaaS","Deep Tech, AI/ML, Robotics, Quantum Computing"
"FoodTech, Restaurant Technology, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing"
"Mortgage Tech, Real Estate Technology",
"FoodTech, LOHAS & Wellness",
"Industrials, LOHAS & Wellness, Ridesharing, TMT",
"CleanTech, Industrials, LOHAS & Wellness, TMT","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"InsurTech, Mortgage Tech, Real Estate Technology, TMT",
"Micro-Mobility, Ridesharing",
"3D Printing, Life Sciences","Life Sciences, Healthcare & MedTech"
"3D Printing, E-Commerce, Mobile, TMT",
"3D Printing, Mobile",
"Internet of Things, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing"
"EdTech, HR Tech, Industrials, TMT",
Space Technology,
"Big Data, FinTech, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Data & Analytics; Fintech, Payments, InsureTech; Life Sciences, Healthcare & MedTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"3D Printing, AdTech, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; AdTech, SalesTech, MarTech"
"Mobile, Robotics and Drones, TMT",
"CloudTech & DevOps, Mobile, TMT",
"Construction Technology, Mobile, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing"
"3D Printing, Advanced Manufacturing, Manufacturing, TMT",Blockchain; Real Estate/PropTech
"LOHAS & Wellness, Mobile, TMT, Wearables & Quantified Self",
"E-Commerce, Gaming, TMT","Arts, Entertainment, Events Sports, Gaming"
"Artificial Intelligence & Machine Learning, CloudTech & DevOps, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing"
InsurTech,
"HealthTech, Life Sciences, LOHAS & Wellness, TMT","Health & Fitness; Life Sciences, Healthcare & MedTech"
"CleanTech, Industrials, Infrastructure, TMT","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"Industrials, Micro-Mobility, Mobile",
"CleanTech, FoodTech, Industrials, TMT","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"Artificial Intelligence & Machine Learning, SaaS","Deep Tech, AI/ML, Robotics, Quantum Computing"
"B2B Payments, Mobile, TMT",
"Digital Health, Mobile, SaaS, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; Health & Fitness; Life Sciences, Healthcare & MedTech"
"Artificial Intelligence & Machine Learning, FoodTech, Life Sciences, LOHAS & Wellness","Life Sciences, Healthcare & MedTech"
"Cybersecurity, Industrials, Oil & Gas, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; Blockchain; Cybersecurity; Real Estate/PropTech"
"Artificial Intelligence & Machine Learning, Impact Investing, Mobile, TMT",
"SaaS, TMT, Virtual Reality","Deep Tech, AI/ML, Robotics, Quantum Computing"
"3D Printing, Cybersecurity, Mobile, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; Blockchain; Cybersecurity; Real Estate/PropTech"
"AdTech, FoodTech, Marketing Tech, TMT","AdTech, SalesTech, MarTech"
"Industrials, Infrastructure, Oil & Gas",
"EdTech, FinTech, Gaming","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Arts, Entertainment, Events Sports, Gaming; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"Digital Health, LOHAS & Wellness, TMT","Health & Fitness; Life Sciences, Healthcare & MedTech"
"Internet of Things, Manufacturing, TMT",
"AudioTech, Mobile, SaaS","Deep Tech, AI/ML, Robotics, Quantum Computing"
"3D Printing, Big Data, Industrials, TMT","Data & Analytics; Health & Fitness; Life Sciences, Healthcare & MedTech"
"Artificial Intelligence & Machine Learning, Real Estate Technology",
"Cybersecurity, SaaS, TMT, Wearables & Quantified Self","Deep Tech, AI/ML, Robotics, Quantum Computing; Blockchain; Cybersecurity; Real Estate/PropTech"
"CloudTech & DevOps, Cybersecurity, TMT","Deep Tech, AI/ML, Robotics, Quantum Computing; Blockchain; Cybersecurity; Real Estate/PropTech"
"Advanced Manufacturing, CloudTech & DevOps, Cryptocurrency/Blockchain, Cybersecurity, Esports, FoodTech, Gaming, Infrastructure, Life Sciences, Manufacturing, SaaS, Space Technology","Deep Tech, AI/ML, Robotics, Quantum Computing; Life Sciences, Healthcare & MedTech; Real Estate/PropTech; Arts, Entertainment, Events Sports, Gaming; Cybersecurity; Blockchain"
"Cryptocurrency/Blockchain, Gaming, TMT","Arts, Entertainment, Events Sports, Gaming"
"E-Commerce, EdTech, FoodTech, TMT",
"AdTech, Mobile, Mobile Commerce, TMT","AdTech, SalesTech, MarTech"
"CleanTech, Internet of Things","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"FinTech, Mobile, TMT, Virtual Reality","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"Artificial Intelligence & Machine Learning, AudioTech, TMT",
"Cryptocurrency/Blockchain, FinTech, Mobile, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"Manufacturing, Nanotechnology, TMT",
"Artificial Intelligence & Machine Learning, Big Data, Internet of Things, TMT","Data & Analytics; Health & Fitness; Life Sciences, Healthcare & MedTech"
"Cryptocurrency/Blockchain, E-Commerce, FinTech","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"LOHAS & Wellness, Manufacturing, TMT",
"E-Commerce, FemTech, LOHAS & Wellness, TMT","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"Digital Health, LOHAS & Wellness, Mobile","Health & Fitness; Life Sciences, Healthcare & MedTech"
"AgTech, FoodTech, Pet Technology, TMT","Blockchain; Clean Energy, AgTech, Renewables, Utilities; Real Estate/PropTech"
"E-Commerce, FoodTech, LOHAS & Wellness",
"Digital Health, HealthTech, Life Sciences, Oncology","Health & Fitness; Life Sciences, Healthcare & MedTech"
"3D Printing, E-Commerce, Internet of Things, TMT",
"FinTech, Mortgage Tech","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Health & Fitness; Clean Energy, AgTech, Renewables, Utilities"
"Augmented Reality, Esports, Gaming, Virtual Reality","Arts, Entertainment, Events Sports, Gaming"
"3D Printing, Big Data, TMT","Data & Analytics; Health & Fitness; Life Sciences, Healthcare & MedTech"
"Cryptocurrency/Blockchain, Cybersecurity, FinTech, SaaS, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Fintech, Payments, InsureTech; Real Estate/PropTech; Cybersecurity; Health & Fitness; Blockchain; Clean Energy, AgTech, Renewables, Utilities"
"HealthTech, Mobile, SaaS","Deep Tech, AI/ML, Robotics, Quantum Computing; Health & Fitness; Life Sciences, Healthcare & MedTech"
"3D Printing, Beauty, TMT",Beauty
"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Augmented Reality, Autonomous cars, Big Data, Car-Sharing, CleanTech, Climate Tech, Infrastructure, Internet of Things, Manufacturing, Micro-Mobility, Mobility Tech, Ridesharing, Robotics and Drones, Virtual Reality","HR Tech/Workforce; Data & Analytics; Life Sciences, Healthcare & MedTech; Real Estate/PropTech; Health & Fitness; Blockchain; Clean Energy, AgTech, Renewables, Utilities"
"Augmented Reality, Mobile, Virtual Reality",
"3D Printing, CleanTech, TMT","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"Digital Health, HealthTech, SaaS","Deep Tech, AI/ML, Robotics, Quantum Computing; Health & Fitness; Life Sciences, Healthcare & MedTech"
"E-Commerce, HR Tech, Industrials, TMT",
"Internet of Things, Manufacturing, Mobile, TMT",
"Industrials, Manufacturing, Robotics and Drones",
"Beauty, FemTech, HealthTech, LOHAS & Wellness","HR Tech/Workforce; Life Sciences, Healthcare & MedTech; Beauty; Clean Energy, AgTech, Renewables, Utilities; Health & Fitness"
"FemTech, Life Sciences","HR Tech/Workforce; Clean Energy, AgTech, Renewables, Utilities; Life Sciences, Healthcare & MedTech; Health & Fitness"
"Artificial Intelligence & Machine Learning, Mobile",
"AdTech, B2B Payments, Big Data, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, E-Commerce, EdTech, Esports, FinTech, Gaming, HealthTech, HR Tech, Legal Tech, Marketing Tech, Micro-Mobility, Mobile, Mobile Commerce, Pet Technology, Real Estate Technology, Restaurant Technology, SaaS, TMT","HR Tech/Workforce; Deep Tech, AI/ML, Robotics, Quantum Computing; Data & Analytics; Fintech, Payments, InsureTech; Life Sciences, Healthcare & MedTech; Real Estate/PropTech; Arts, Entertainment, Events Sports, Gaming; Cybersecurity; Clean Energy, AgTech, Renewables, Utilities; Blockchain; AdTech, SalesTech, MarTech; Health & Fitness"
